part_number	name	warranty	instock	priceOpt
CML8GX3M1A1600C10B	8Gb DDR3-1600 2Rx8 Corsair CML8GX3M1A1600C10B синий радиатор - 900грн, есть 2шт	36	200	450
BLT8G3D1608DT1TX0	8Gb DDR3-1600 2Rx8 Crucial Ballistix Tactical BLT8G3D1608DT1TX0 радиаторная новые - 990грн, есть 4шт	36	400	495
BLS8G3D1609DS1S00	8Gb DDR3-1600 2Rx8 Crucial Ballistix Sport BLS8G3D1609DS1S00.16FED радиаторная - 900грн, есть 3шт	36	300	450
BLS8G3D1609DS1S00	8Gb DDR3-1600 2Rx8 Crucial Ballistix Sport BLS8G3D1609DS1S00.M16FEDM радиаторная - 900грн, есть 4шт	36	400	450
BLS8G3D1609DS1S00	8Gb DDR3-1600 2Rx8 Crucial Ballistix Sport BLS8G3D1609DS1S00.16FER радиаторная - 900грн, есть 7шт	36	700	450
KHX1600C10D3B1/8G	8Gb DDR3-1600 2Rx8 Kingston HyperX KHX1600C10D3B1/8G синий радиатор - 900грн, есть 4шт резерв 2шт	36	400	450
CMX16GX3M2A1600C11	8Gb DDR3-1600 2Rx8 Corsair CMX16GX3M2A1600C11 одна планка с кита радиаторная - 900грн	36	100	450
12800CL10D-16GBXL	8Gb DDR3-1600 2Rx8 G.Skill F3-12800CL10D-16GBXL одна планка с кита радиаторная - 900грн	36	100	450
102464Z8D3N16813	8Gb DDR3-1600 2Rx8 Axiom 102464Z8D3N16813 - 850грн, есть 2шт	36	200	425
CT102464BA160B	8Gb DDR3-1600 2Rx8 Crucial CT102464BA160B C16FER - 850грн, есть 3шт	36	300	425
HMT41GU6BFR8C-PB	8Gb DDR3-1600 2Rx8 Hynix HMT41GU6BFR8C-PB - 850грн, есть 7шт	36	700	425
HMT41GU6MFR8C-PB	8Gb DDR3-1600 2Rx8 Hynix HMT41GU6MFR8C-PB - 850грн, есть 4шт	36	400	425
KTL-TC316/8G	8Gb DDR3-1600 2Rx8 Kingston KTL-TC316/8G - 850грн	36	100	425
KVR16N11/8	8Gb DDR3-1600 2Rx8 Kingston KVR16N11/8 низкая - 850грн, есть 3шт	36	300	425
K66GKY-ETF	8Gb DDR3-1600 2Rx8 Kingston K66GKY-ETF - 850грн, есть 2шт	36	200	425
MT16JTF1G64AZ-1G6E1	8Gb DDR3-1600 2Rx8 Micron MT16JTF1G64AZ-1G6E1 - 850грн, есть 34шт	36	900	425
64DOJKHHJ	8Gb DDR3-1600 2Rx8 PNY Technologies 64DOJKHHJ - 850грн	36	100	425
M378B1G73DB0-CK0	8Gb DDR3-1600 2Rx8 Samsung M378B1G73DB0-CK0 - 850грн	36	100	425
M378B1G73EB0-CK0	8Gb DDR3-1600 2Rx8 Samsung M378B1G73EB0-CK0 - 850грн, есть 2шт	36	200	425
M378B1G73BH0-CK0	8Gb DDR3-1600 2Rx8 Samsung M378B1G73BH0-CK0 - 850грн	36	100	425
M378B1G73QH0-CK0	8Gb DDR3-1600 2Rx8 Samsung M378B1G73QH0-CK0 - 850грн, есть 13шт	36	900	425
1333C9Q-32GAO	4x8Gb DDR3-1333 2Rx8 G.Skill F3-1333C9Q-32GAO радиаторная - 3700грн	36	100	1850
10666CL9D-16GBXL	2х8Gb DDR3-1333 2Rx8 G.Skill F3-10666CL9D-16GBXL радиаторная - 1800грн, есть 2 пары	36	200	900
10666CL9D-8GBXL	8Gb DDR3-1333 2Rx8 G.Skill F3-10666CL9D-8GBXL радиаторная - 900грн	36	100	450
M393B1K70DH0-YK0	8Gb DDR3L-1600 2Rx4 Samsung M393B1K70DH0-YK0 ECC Registered - 400грн, есть 4шт	36	400	200
HMT31GR7BFR4C-H9	8Gb DDR3-1333 2Rx4 Hynix HMT31GR7BFR4C-H9 ECC Registered - 400грн, есть 5шт	36	500	200
HMT351R7BFR8A-H9	4Gb DDR3L-1333 2Rx8 Hynix HMT351R7BFR8A-H9 ECC Registered - 200грн, есть 3шт	36	300	100
HMT151R7BFR4C-H9	4Gb DDR3-1333 2Rx4 Hynix HMT151R7BFR4C-H9 ECC Registered - 200грн	36	100	100
MT36JSZF51272PZ-1G4F1	4Gb DDR3-1333 2Rx4 Micron MT36JSZF51272PZ-1G4F1 AB ECC Registered - 200грн	36	100	100
M393B5170FH0-CH9	4Gb DDR3-1333 2Rx4 Samsung M393B5170FH0-CH9 Q5 ECC Registered - 200грн, есть 6шт	36	600	100
HMT451U7BFR8C-RD	4Gb DDR3-1866 1Rx8 Hynix HMT451U7BFR8C-RD ECC Unbuffered - 400грн, есть 4шт	36	400	200
M391B5173QH0-CMA	4Gb DDR3-1866 1Rx8 Samsung M391B5173QH0-CMA ECC Unbuffered - 400грн, есть 4шт	36	400	200
MT9KSF51272AZ-1G6P1	4Gb DDR3L-1600 1Rx8 Micron MT9KSF51272AZ-1G6P1 ZF ECC Unbuffered - 400грн, есть 6шт	36	600	200
HMT351U7CFR8C-PB	4Gb DDR3-1600 2Rx8 Hynix HMT351U7CFR8C-PB ECC Unbuffered - 400грн	36	100	200
MT18JSF51272AZ-1G4D1	4Gb DDR3-1333 2Rx8 Micron MT18JSF51272AZ-1G4D1 ECC Unbuffered - 400грн	36	100	200
BLS4G3D1609ES2LX0	4Gb DDR3L-1600 2Rx8 Crucial BLS4G3D1609ES2LX0 радиаторная - 400грн	36	100	200
AD3LHT4GE5WB-CKGAC	4Gb DDR3L-1600 1Rx8 ATLA AD3LHT4GE5WB-CKGAC - 360грн, есть 2шт	36	200	180
AD3LHT4GE5WB-CKGEC	4Gb DDR3L-1600 1Rx8 ATLA AD3LHT4GE5WB-CKGEC - 360грн	36	100	180
CT51264BD160BJ	4Gb DDR3L-1600 1Rx8 Crucial CT51264BD160BJ M16FP - 360грн, есть 13шт	36	900	180
HMT451U6AFR8A-PB	4Gb DDR3L-1600 1Rx8 Hynix HMT451U6AFR8A-PB - 360грн, есть 5шт	36	500	180
HMT451U6BFR8A-PB	4Gb DDR3L-1600 1Rx8 Hynix HMT451U6BFR8A-PB - 360грн, есть 19шт	36	900	180
